Image,Class,Mean,Variance,Standard Deviation,Entropy,Skewness,Kurtosis,Contrast,Energy,ASM,Homogeneity,Dissimilarity,Correlation,Coarseness
Image11,1,0.055118728097707355,0.8636517227379186,0.9354043140043554,-1.0127754682328753,-0.08981046529787044,-0.1565739196910174,-0.5632531663236545,-1.2644997921529695,-0.9766508176985879,-0.8100911422087533,-0.03877162884724201,0.49635706546126934,-0.03418761219373256
Image12,1,0.49544020043199977,0.9403362788772565,0.9961059669912224,-0.9938144327040594,-0.18694276067690493,-0.17058287294043023,0.3426800768950087,-1.1857914945225536,-0.9605042545938619,-0.7344713321689604,0.2794001325472614,0.10836738943964175,-0.03418761219373256
Image13,1,0.12300516249581246,0.2199584638637817,0.38149870589957924,-0.9083439568407352,-0.290359116843134,-0.21631002737788813,-0.15883908314107562,-0.9386908489630434,-0.8867077595983428,-0.06898726704722587,-0.6116721774612794,-0.33959012473029754,-0.03418761219373256
Image14,0,-0.4072224140974707,-0.6367570507916379,-0.5526957636359378,0.11702005609443564,-0.36039329492443184,-0.2498766334029068,-0.050765439992070345,0.35718926756636005,0.07415578503635226,0.8179272894747421,-0.6194018312144245,-0.6701360133922997,-0.03418761219373256
Image15,0,-0.7327864030132935,-0.5992666007402236,-0.5040851480832222,3.992014153586041,0.10404676272772548,-0.0842947118017847,-0.7406161065178937,2.710709612905291,4.284206872992969,1.8922147525857194,-1.2565640865639225,1.2290394725708547,-0.03418761219373256
Image16,1,0.573505337774522,0.5932015970475019,0.7131236769797549,-1.015650540742624,-0.35427018236534524,-0.23544346393788906,-0.39541109577318895,-1.2779823567292232,-0.979059965117442,-0.8290701533546444,0.18111931927857997,0.7200286892963462,-0.03418761219373256
Image17,1,1.0175642401614184,0.7824659712435471,0.8700662166975941,-0.9790287525330743,-0.4950888276867133,-0.27596826629711046,-0.23482317648069853,-1.133594877591786,-0.9478354429193874,-0.6253501562275066,0.18946963017843163,0.15163163664419885,-0.03418761219373256
Image18,0,-0.5660192372377101,-0.5384400359478299,-0.4272734994692131,0.6757285509619305,-0.11591190364484254,-0.17049149620461065,-0.2931787311540062,0.8129417235671774,0.6411954923147073,0.6294145306064908,-0.2510451767193746,0.6233842347444669,-0.03418761219373256
Image19,0,-0.7050367174409689,-0.7983918769012947,-0.7751476221998881,0.5570577610772385,-0.13183416454514388,-0.1747316917517513,-0.59157008306904,0.7198833697621918,0.5157272822107231,1.101527669354259,-1.1225308896140733,0.6837144926022761,-0.03418761219373256
Image20,0,-0.20166642508884136,-0.5033911667939008,-0.38409131102843236,1.868528721437783,-0.39979530598387164,-0.255863147289218,-0.5182839133876832,1.5981415071073177,1.8977737104736951,1.3578612025443653,-0.9721864572187083,0.6358996880607483,-0.03418761219373256
Image21,0,-0.5498174912790953,-0.892518135540139,-0.9163236816309078,-0.051760937254206864,-0.3599762663008764,-0.24718185267252055,-0.3206929435424378,0.2065116855615385,-0.08709059556772936,0.34945641328661053,-0.31410296378637026,-0.7686178560108923,-0.03418761219373256
Image22,0,-1.3981475161058547,-1.3883545764263232,-1.9721227700578932,0.831844520944483,0.7191855015194487,0.22323706275396651,-0.3800702792708691,0.9283802247230234,0.8037458172298492,0.4362551793919997,-0.4447348037041817,-1.6662794339305398,-0.03418761219373256
Image23,0,-0.8699045335176904,-0.9204328856064903,-0.9601969501792015,0.8487490367820137,0.019682622831867707,-0.11732224199816213,-0.688650174331407,0.9394385211424194,0.8197185941086336,0.7966123638064525,-0.91164741372947,0.8467601439261104,-0.03418761219373256
Image24,0,-0.5055836879836693,-0.6821653632228095,-0.6129741574138087,1.868158908218814,-0.2593002334207507,-0.2150206578773479,-0.4931910020991159,1.5978456900733389,1.8972336692731515,1.219778481242567,-0.9239851466805756,0.5829467537556006,-0.03418761219373256
Image25,0,0.25757661935069426,-0.19523978887247137,-0.03257833587473391,0.754186297235809,-0.5397096463621853,-0.29438143626428587,-0.3320154522737743,0.8720418766625423,0.7234595436150001,0.6631046766559933,-0.50089951332781,0.3996470511989095,-0.03418761219373256
Image26,1,-0.35006610674988436,0.10849683131955906,0.2756943281696246,-1.0278080647882377,0.10395572188955553,-0.06687548741909641,-0.40226468882011673,-1.343314497092366,-0.9892561431030685,-1.3334728637617406,0.37482654817122263,0.3839175483345777,-0.03418761219373256
Image27,0,-1.4611350667785648,-1.3795933273744665,-1.9429749012587498,4.5672684582097745,1.4150760380026455,0.6627397991805439,0.5566024126959042,2.9762022710956217,4.958683593585368,1.894830046652372,-0.19398684684478182,-2.468160255423591,-0.03418761219373256
Image28,0,-0.6678595443731596,-0.6197434137224025,-0.5305104877976392,-0.07504216641185249,0.05029809961076978,-0.09947714102529542,-0.17024689455364167,0.1873134837218696,-0.10669941803764454,0.19174439987378863,-0.16085057993826796,0.42239028190771283,-0.03418761219373256
Image29,0,-0.22721041423667873,-0.33137370193029064,-0.1821944534126959,2.4355336361191005,-0.29484019366062275,-0.22475281480162024,-0.4473571999063191,1.921899701268581,2.5189340765406727,1.379882377250469,-0.9637295230747717,0.8026878135561422,-0.03418761219373256
Image30,0,1.111823131808836,0.38100912879970983,0.528562543636495,1.69923983362787,-0.7261534040400941,-0.33500091836284546,-0.5619374736803744,1.4961716881651383,1.7145938892899053,1.2049608108557572,-0.9013348459846294,0.9317998266729574,-0.03418761219373256
Image31,0,-0.8972599641735607,-1.0615666582529084,-1.1995609515139036,0.27762617208786,-0.12285379289980486,-0.1697640587352665,-0.7584220195327308,0.4966345635018635,0.23499273045076358,0.7789399124113515,-1.0592302459787222,0.5109932185581219,-0.03418761219373256
Image32,1,0.6393965226292203,0.07639129018694973,0.2445516810134887,-0.6583615102077388,-0.3283982205841528,-0.1993297831925915,-0.36359423658750256,-0.48612732708497364,-0.660675403137613,-0.09622511615021784,-0.38743651978558563,0.389514226564743,-0.03418761219373256
Image33,1,0.933033854965958,0.20867998704246057,0.3709497337328758,-0.48601032597667265,-0.34587785131652915,-0.2040355790601382,-0.2408806050914122,-0.2562468778761116,-0.5008381063042162,0.12311460204164838,-0.4473822260053375,0.31004852061399546,-0.03418761219373256
Image34,1,-1.220170724057031,-1.1579992290395928,-1.3851337216486368,-0.9567569061388848,0.8416620553354884,0.3970858197396029,0.6169233616616759,-1.0674505404925807,-0.92953486542602,-0.42693420280676225,0.40821423233902204,-6.185581667061361,-0.03418761219373256
Image35,0,-1.3049541782866916,-1.3733277273673907,-1.922679547155031,0.8829159664413495,0.1546436156130853,-0.06679401246973996,-0.9800381764852398,0.9521022909519409,0.8380965580155834,1.4571396620497987,-1.6464235614216083,0.5416420536954636,-0.03418761219373256
Image36,0,-1.2252427602795237,-1.3492022169817472,-1.8482897514585759,2.8306001169745363,-0.05370306117792614,-0.1473237505451445,-1.047995141909508,2.12536043015169,2.940077871431248,2.248604862179413,-1.9196600080959425,0.9586607398382869,-0.03418761219373256
Image37,1,-0.789540463790715,-1.074414780891104,-1.223077970823277,-0.7635725100135686,-0.2416055077910627,-0.19716872762879342,-0.8991823463700538,-0.6595525946471422,-0.7611857320821787,0.5929282769641955,-1.374516144085558,0.03142778655771674,-0.03418761219373256
Image38,0,-1.1189590936802498,-1.2645078127675042,-1.6217517103611088,1.0070463612620741,-0.09373598291551077,-0.16379030984528622,-0.8480894362669532,1.0335107373595538,0.9584363092299015,1.9515420097940446,-1.6441639114886237,0.2259486788001914,-0.03418761219373256
Image39,0,-0.30682593239930545,-1.1043375570583556,-1.2791950889275445,0.06742990037998892,-0.731811642384044,-0.3397324467034694,-0.9106370044420334,0.2952834526585515,0.006330612286370865,1.4829593140071533,-1.5792622900040494,-0.22935309374620175,-0.03418761219373256
Image40,0,-0.5608672844780973,-1.1474788157249292,-1.363777153438648,0.17146880976122755,-0.6314832864546557,-0.3194925694025172,-0.8987156669633778,0.382247536148722,0.10223550278707068,1.6989749947068047,-1.6194391115950735,-0.3103903271451654,-0.03418761219373256
Image41,0,-0.9681086382142209,-1.2597527034078577,-1.6102398587141782,0.28950132936691636,-0.3725529401928425,-0.2534900678863701,-0.8571050678112166,0.48576478595577643,0.22205437220553914,1.5101792795151308,-1.480095831293084,-0.5525559022589484,-0.03418761219373256
Image42,0,-1.461414774658483,-1.4356291368294836,-2.1494608763948295,1.8434485181874987,0.7251076777344369,0.20589521282675882,-0.5787737751000643,1.5693633180057796,1.8454717202825925,1.7653358493657991,-1.0610152336345189,-1.770628314224771,-0.03418761219373256
Image43,0,-0.30215081497783713,-0.35922735333402306,-0.21384489037600085,2.1770309487596133,-0.2868520928726913,-0.2251984750637977,-0.32831736156149544,1.7755908456658305,2.2307758037807948,1.5496060454137182,-1.0359462330051619,0.6947282987033057,-0.03418761219373256
Image44,0,0.4620164407242158,0.14744191559908515,0.31306247469928716,1.4472480086403539,-0.5395911246354201,-0.29438108989369655,-0.31068591216549735,1.3405881864248297,1.4466019442822977,1.1187965233669388,-0.7402153924996053,0.6915133763972345,-0.03418761219373256
Image45,0,1.3986835417978734,0.6863697526490169,0.7912217139144747,0.6323928937063469,-0.7336641359975278,-0.3388325919241401,-0.43464262480731963,0.780944616230717,0.5974938828975651,0.7769785184913749,-0.8117431133818905,0.8211874035355001,-0.03418761219373256
Image46,0,1.8525295560972856,0.788776018064751,0.8751853794492451,0.6077849194855424,-0.8154974373426295,-0.3533718918898073,-0.33982052187267503,0.7616058696927508,0.5713659661828211,0.8251116887340245,-0.7635074839888248,0.6608280069327134,-0.03418761219373256
Image47,0,-1.0244737718443286,-1.124187216934957,-1.3175396403468898,0.9204479247501156,0.06364110411961643,-0.09282333078001322,-0.23924936450771492,0.9913321793743284,0.8956121622095656,0.7385432595677293,-0.5758598737126025,-0.7158759964665196,-0.03418761219373256
Image48,0,-0.6324511906602533,-0.3371361394541458,-0.18871173159692956,0.5302200815050376,0.1071956222995258,-0.08525498023272089,0.03271417884112715,0.7028756407040708,0.49333343916171457,0.5637872206183174,-0.28887762612235995,0.6808593434707308,-0.03418761219373256
Image49,0,-0.49355092137810264,-0.27401907214149396,-0.11816790788791975,1.5493754831608666,-0.05010729022233146,-0.14652807847651353,-0.09171192381234945,1.4039320152954364,1.5540345781486085,1.1538724558001856,-0.744841928809511,0.7695999636207275,-0.03418761219373256
Image50,0,0.0668318285547977,0.10426618102451729,0.2716082200592541,1.5880164831000076,-0.376410735993236,-0.25256734134736464,0.15249433110687388,1.4282080832498922,1.595817819480494,1.1954767581790984,-0.5601749539218027,0.4319587445368971,-0.03418761219373256
Image51,0,1.2011245342703005,0.8279832537268189,0.9068376208678045,0.3007656172160163,-0.6611644682498518,-0.32517183729467086,0.048199651506517685,0.5186526857279468,0.2614088478411745,0.5767969239700369,-0.4426609678995188,0.3562830552783135,-0.03418761219373256
Image52,1,1.249639200070732,1.491286486639998,1.4069708136445165,-0.8364647403623877,-0.5053419559833546,-0.2832404724653226,0.08975910496850827,-0.7825006942041338,-0.8219838789396914,-0.48422141193426926,-0.005791201950414132,0.13023143785593638,-0.03418761219373256
Image53,1,1.087981364901631,1.6568195905533298,1.522914823591625,-0.9411135289108878,-0.4152523461546808,-0.2589068375231915,0.24077467184133677,-1.0187662560477082,-0.9144606762915075,-0.6616650584520302,0.366529672079723,0.197623937841789,-0.03418761219373256
Image54,1,0.7044805504590222,1.3822911559839097,1.3288798403738515,-0.9660147794036592,-0.32068689115756965,-0.2313507691508881,-0.10035100657153131,-1.0904069497420996,-0.9361708994229653,-0.9109487726207023,0.23521317567116978,0.4450012016186375,-0.03418761219373256
Image55,1,-0.596848373373691,0.1711650300468204,0.3356115440302745,-0.726724964701082,0.34574418965925385,0.019933134353510643,0.5924813376691486,-0.5895085007512866,-0.7226691768003547,-0.627934314326045,0.19624296215238957,0.3159610429762418,-0.03418761219373256
Image56,0,-0.9800455049752447,-1.0620718810794696,-1.2004794481124417,0.9069227353271883,0.02088067999848485,-0.11998620854370966,-0.775367061346158,0.9734032075176214,0.86921658875839,1.1877104449600326,-1.1476508314056533,0.8040956471923156,-0.03418761219373256
Image57,1,-1.3783202232466034,-1.1415440319518522,-1.3518619865398132,-1.000080641094978,1.915179370108098,1.0869675624842736,0.6030201000432758,-1.2102070165889238,-0.9658933964255058,-1.8842561563771287,1.3356588602867927,-1.521407489223104,-0.03418761219373256
Image58,1,-0.9995984177237198,-0.70869992810585,-0.6489552040347333,-0.3170355784851175,0.6028439601832178,0.1562690382621884,0.6501870559899515,-0.05982668329663927,-0.34023476628099547,-0.20907070961233776,0.20494582778144163,-0.0004427741646570312,-0.03418761219373256
Image59,1,-0.801618516433982,-0.36684362081552424,-0.22256521721298225,-0.9826142926056531,0.42734886591628923,0.06758825249600242,-0.07570284360844308,-1.1467277955268322,-0.9511702101236645,-0.934034645247021,0.1217609069363883,-0.4590555444319433,-0.03418761219373256
Image60,1,-0.09790545717796137,-0.48404085207298314,-0.36056894964032565,-0.9931099155765799,-0.33922526342023246,-0.2247001430640317,-0.8217264801077288,-1.1841618099842877,-0.9601323591650807,-0.6788480870854446,-0.6068604558122547,0.1433527621309401,-0.03418761219373256
Image61,0,-0.15074627152111583,-0.8254491465220678,-0.8147364432565646,0.2844821862979947,-0.6127520786217172,-0.31270055784433437,-0.6900965208972657,0.5023916161207803,0.24187285453677101,0.7901011443666187,-0.9767851610792185,0.024665113015742948,-0.03418761219373256
Image62,0,-1.1615625996184462,-1.2460811470678594,-1.5777128268647584,1.2887154062983321,0.10658025181684691,-0.08517495741710025,-0.35942729129861284,1.233951445776657,1.2709456085299344,1.1415072168796236,-0.5657791765061991,-1.0028701864966614,-0.03418761219373256
Image63,0,-0.8950329566725083,-0.8654928208567803,-0.8747671108188104,0.24272760911286545,0.17896578480610048,-0.05138062800708131,-0.3748875846860276,0.47250151005854285,0.2063588811885845,0.3084504651862654,-0.32716275275336204,0.5486456232663898,-0.03418761219373256
Image64,0,-0.5628891728672113,-0.629068705439105,-0.5426442029581662,2.3625931198520256,-0.1506897510982857,-0.1764331255000321,-0.5894201610153027,1.881887245008754,2.4389080916979804,1.352568934636041,-1.0243006686755236,0.8951529470215392,-0.03418761219373256
Image65,0,1.3654142873951818,0.4891361964170794,0.6238278467131905,-0.1389718720246036,-0.7115335065339147,-0.3316862076245304,-0.26934004528663474,0.1248115797857685,-0.16907263433286196,0.22129896941803948,-0.3183339098807347,0.3199659378139849,-0.03418761219373256
Image66,0,0.12362584760077738,-0.3349408381767965,-0.18622699455675057,0.006039102610048712,-0.5153761850405669,-0.2878485280962753,0.19112828290965714,0.2638642403306338,-0.02725134321286451,0.1931832139978088,0.09815092227879046,-0.9579093418810729,-0.03418761219373256
Image67,0,-0.8602346325262773,-1.0095896307525598,-1.1076222389864727,0.1576368184513873,-0.06434157994782434,-0.14307480925470656,0.30865574398617185,0.40052912654281714,0.12294882274789098,0.15968200805594687,0.1305587561571922,-2.0003253368362337,-0.03418761219373256
Image68,0,-0.1997963781202533,0.3013435953709601,0.45662837258401695,0.5414507409128263,-0.119885590987304,-0.173802521623341,0.8314911852813885,0.71031813165414,0.5031124338180685,0.8681150827723667,-0.25639763488389244,0.3026576547396326,-0.03418761219373256
Image69,1,-1.4367338841115302,-1.1527944638887486,-1.3745298710583607,-0.5321614716951993,2.9120596755358337,2.0512696200699234,9.679392861662357,-0.31248382834455807,-0.542742553020592,-0.9304821869685921,6.111953593061668,-3.2790147620037393,-0.03418761219373256
Image70,0,4.100096918265954,4.1065442302576125,2.9758623941674225,-0.21385769837185178,-0.8249560415786079,-0.3566164782840591,2.3651677211522566,0.048942323321608895,-0.24177278479446757,0.1687903015385338,0.908442873836487,-0.43516284241615527,-0.03418761219373256
Image71,0,-1.1261409264826872,-0.9594829812741336,-1.0233193932613023,1.7508895521085315,0.6884482520108249,0.2066872345624547,1.9325726796202838,1.5300603879338948,1.7748098143248061,0.5076432812242415,1.4027663957771332,-1.3673612454996096,-0.03418761219373256
Image72,0,-0.7900865601276951,-0.9653026976467116,-1.0329123292296263,0.682130005397008,-0.17728153680656888,-0.18895842300283697,-0.6373430359373041,0.816324598535403,0.6458501679110902,0.9592806729584906,-0.8556773249330691,0.4076633565549522,-0.03418761219373256
Image73,1,0.45343074075305945,0.3629099167829869,0.5123541145336771,-0.9938894377136805,-0.24098260163150714,-0.17761366800721157,-0.3681122282687898,-1.1863085248841967,-0.9606219228326075,-0.6033426356870728,0.08938510649099418,0.361269719639289,-0.03418761219373256
Image74,0,0.8838585457920087,-0.3213454279692267,-0.17089006199041729,-0.22196911257254814,-0.7748575334508572,-0.3455071915247468,-0.3248146414007879,0.03687571673294687,-0.2530308360719671,0.667075200712011,-0.5505517269352732,-0.6391114045291614,-0.03418761219373256
Image75,0,0.5847176279323221,-0.36477326386932185,-0.2201918999394942,-0.06403091361209415,-0.7194868488946972,-0.3359294584683165,-0.479288971318695,0.19301597553496025,-0.1008970453267965,0.8116707092676327,-0.7420418695112605,-0.14342859908188157,-0.03418761219373256
Image76,0,-0.6290467461789803,-0.885670713177866,-0.905711315844473,0.44851102817809724,-0.3111518271369885,-0.23324389838108783,-0.32875832251513115,0.6354333258883363,0.40616764609416195,0.9519891814992361,-0.449830333370555,-0.4506620303360387,-0.03418761219373256
Image77,0,-0.34680284815085455,0.3505054109191812,0.5012004754868177,0.8087049491168586,0.12074403060450534,-0.07635981031026917,0.5434269662486036,0.9125976633342627,0.7810708135384169,0.46350122006346867,0.22198814662213828,0.8160688816218807,-0.03418761219373256
Image78,1,-0.4203340539541448,0.8886725733965336,0.9553160834840319,-1.0064103193432903,0.4035533001664401,0.045320759668256945,0.6835936224812229,-1.2357486212911288,-0.9711648940405386,-1.4177443701582633,1.4909993221416538,0.16670755289395306,-0.03418761219373256
Image79,1,0.6467861384281716,2.594743089390012,2.12933885970391,-1.0227932611705186,-0.141894568811784,-0.1784269785558772,0.2219774710840562,-1.31425721578279,-0.9850237718308414,-1.2804735873292468,0.9264640588424355,0.2030281557136894,-0.03418761219373256
Image80,1,1.9905187768562793,3.5801760883240306,2.695754455189338,-0.9798775082316237,-0.4911121674783,-0.2836205322788072,0.5724446361177695,-1.135333232184329,-0.9482825381361246,-1.0155439057157494,1.1506391465460577,0.05086757756175726,-0.03418761219373256
Image81,1,-1.521975526487343,-1.1686297859540007,-1.4070304712710848,-0.9319703148745692,5.007141103998792,4.701938848709454,0.09837088455973567,-0.9998177109480212,-0.9082258141562178,-2.3153950777798857,2.0827995438794984,-2.949733381891545,-0.03418761219373256
Image82,1,-0.5101868805217299,0.398393006395198,0.5440579253148968,-0.9636277786188703,0.2701573652154659,-0.022926404030432335,-0.7517823137535565,-1.0875451610403915,-0.9353601431070968,-0.7423791653979941,-0.5090273650585939,-7.359714490488096,-0.03418761219373256
Image83,0,-1.2303787297317117,-1.0449368859882493,-1.1696048479630394,1.3028421171191287,0.9539359730158538,0.3512816075118494,2.323575009154825,1.2494537692599461,1.2960761967434842,0.5947555226857778,1.3327154797962797,-1.5573561619506413,-0.03418761219373256
Image84,0,0.3769612702683596,1.223751589755493,1.2126269052473129,1.101482041474731,-0.26812334649967684,-0.22116790262177094,0.9223300692989645,1.1147780659312079,1.0823615813790024,0.8888755042039205,-0.06254875485176055,0.6215086126678742,-0.03418761219373256
Image85,0,1.022447140579385,1.8191072781525095,1.633689068738499,1.7108293723132146,-0.45560137035574255,-0.27420692869922725,0.8015119069736465,1.5041658722431368,1.728739132027487,1.179971612803885,-0.27142348031748603,0.6861146974424681,-0.03418761219373256
Image86,1,-0.7898148439014891,0.22985785063375283,0.390729668236225,-1.0174556630462435,0.7746671584868204,0.24026460462671298,-0.30739697709709285,-1.2868160390449013,-0.9805818452684597,-1.3720416045224373,0.29343225467229395,-0.3807697935390752,-0.03418761219373256
Image87,1,0.09278072815737003,2.4390176380172064,2.0338473672982476,-0.9216712929698911,0.22335876686700962,-0.035391064854488945,0.32445006028815515,-0.9685479486453742,-0.8974860866202847,-0.9056669320788598,0.8312150720560307,0.9873841706267995,-0.03418761219373256
Image88,1,0.02140460497172617,1.8760458873330634,1.6719140446572718,-0.9210038467743932,0.16166822952522816,-0.06107706781945923,1.1534609359344887,-0.9669335482314037,-0.8969163782141262,-0.8608667829888449,0.6309828675606364,0.17549590914237728,-0.03418761219373256
Image89,1,-1.5536997278390583,-1.3279557384226286,-1.7869995305457596,-0.9726485346814306,4.844204874696552,4.486974754245733,-0.3594206452872347,-1.1152040029893195,-0.9429991679049253,-2.217761684140486,1.0985974476930056,-2.1319542979695316,-0.03418761219373256
Image90,0,-0.571325695302419,-0.6346403094520848,-0.5499240423303121,2.9111907802676393,-0.1384791350392032,-0.17228864759281673,-0.7060717152690954,2.176341937178516,3.0493274428377832,1.6345457197182176,-1.2330996668284775,1.046517916147463,-0.03418761219373256
Image91,0,0.5922803962283711,0.08782923862813719,0.2556821659604767,0.7446274679723729,-0.5983926297304496,-0.30870637137021817,-0.22679315480129897,0.8650284323419128,0.7135923871128277,0.7810693848007264,-0.5458063039562949,0.40055896292498333,-0.03418761219373256
Image92,0,1.4846977106991586,0.5766758470109016,0.6990925707109319,0.003911815250376372,-0.7352062283270846,-0.3388216214056895,-0.10763986082884085,0.2607119933877487,-0.030589299284088354,0.39862259004256834,-0.2770729952128909,0.23861977008344684,-0.03418761219373256
Image93,1,-0.5828736349161286,-0.5112405813119589,-0.3936968022003335,-0.964872853546701,-0.021768796896267168,-0.12736130102715304,-0.36306694919056587,-1.09085315542351,-0.9362968876813347,-0.6256938056525229,0.11258765468773438,-1.2154007882503794,-0.03418761219373256
Image94,1,-1.384092861111174,-1.1566896610762811,-1.3824585773397653,-0.948273223373298,1.8257270403822954,0.9670538632656078,-0.24141224131924294,-1.0417993488502593,-0.9217620114441488,-1.2650648790702135,0.5551781185378305,-0.11794118041782932,-0.03418761219373256
Image95,1,-0.8363049574282452,-0.45185702338549105,-0.32192692031697867,-0.39124467033616006,0.3998522903738498,0.0484500959116546,0.003240643195106451,-0.14265708346754932,-0.41066143444437553,-0.1377413722443304,-0.33345878451279554,0.6050326942251489,-0.03418761219373256
Image96,1,-1.2115370741635951,-0.9399250198720316,-0.9914398608019198,0.05268959941449514,1.0506308702804992,0.40626430713294887,1.2021801297657297,0.3047244912470132,0.016532236969590244,0.32334590833874255,-0.009270302770176925,-0.32477120634663886,-0.03418761219373256
Image97,0,-1.0576950763247424,-0.9804097191092173,-1.058050986129576,0.947012348034986,0.3112951829062857,-0.0020343845238469938,0.8760258228020218,0.9983789943143625,0.9060372066900735,1.176892065765587,-0.046997659032745526,-1.191977084591364,-0.03418761219373256
Image98,0,-1.0283630433174584,-0.9603963878007522,-1.0248217088675347,0.4204636396458245,0.37316340228833966,0.0373672502589685,-0.616898011526153,0.6156899811036197,0.3811443810727936,0.5573437338175979,-0.5567134513842088,0.9373496338284613,-0.03418761219373256
Image99,0,-0.7010115878547359,-0.6975931367201978,-0.6338238781942994,2.34916861306137,-0.04142469062162556,-0.1417556298081078,-0.7000477162283275,1.8737993066272272,2.4228436482949807,1.364776804720362,-1.0513551556838296,1.0822919801861246,-0.03418761219373256
Image100,0,-0.09306784279768468,-0.2676014607541021,-0.11109617408718447,1.1418727926042227,-0.3781249546169286,-0.2518829655566714,-0.4849980401964281,1.142079744217623,1.1248448367303217,0.9884839241424827,-0.6816322195627533,0.8201421134306723,-0.03418761219373256
Image101,0,0.706694238537215,0.21381345101701502,0.37575541026495407,0.2654371441240807,-0.6272396571478611,-0.31750229226007226,-0.459589193488139,0.4895828114763991,0.22659126281347827,0.6353986556988308,-0.6711384513805351,0.6957910278289344,-0.03418761219373256
Image102,0,-0.9245434699460234,-0.9099934448927255,-0.9436724519432625,2.933481442085262,0.21959032249787774,-0.03138225482408202,-0.6902770099530976,2.1879009104124885,3.074304930307021,1.5957981325051465,-1.0561752408032772,0.9388254730953409,-0.03418761219373256
Image103,0,0.34767185941420425,-0.08684488506538426,0.08113274155774203,0.37276095871935094,-0.5164928882414761,-0.28820439096920125,-0.660996572293613,0.5799711625409606,0.33644190296363646,0.6462360150943045,-0.767154154481717,0.9873073276255812,-0.03418761219373256
Image104,0,0.8028817826137825,0.1587855277172025,0.3238645575209011,1.0841266722236398,-0.6523826621268773,-0.31944483335448176,-0.655273981677105,1.1040510476093663,1.0657866911038014,0.8065458054121736,-0.7319524501619158,1.0003688477740262,-0.03418761219373256
Image105,0,-0.6766743384173969,-0.7750293736247871,-0.7415570284785947,2.227509049967591,-0.14979358428767503,-0.17986126419068696,-0.6229060112056286,1.8044510656821382,2.2866438025263904,1.5012381634491505,-1.1349189550851033,0.8215082424480844,-0.03418761219373256
Image106,0,-0.12393427331765527,-0.45418261641844465,-0.3246995186796496,1.488296457039516,-0.4432436260952746,-0.26926186631066745,-0.5315746650881149,1.3665336750670793,1.4903276320283476,1.08065271512748,-0.8543001784622385,0.6614520411902393,-0.03418761219373256
Image107,0,0.6736487504384658,-0.1399403749130039,0.025991091764955784,0.37153885025152267,-0.6879333546357063,-0.32880904194956756,-0.6612808982052605,0.577891661369161,0.3338619435133257,0.5905642937862485,-0.8525288943533265,0.7363988257048193,-0.03418761219373256
